affix	stem	stemPOS	derived	derivedPOS	type	relatedness_score	relatedness_class	quality_score	quality_class
-ion	convolute	v	convolution	n	train	NA	NA	NA	NA
-ion	amalgamate	v	amalgamation	n	train	NA	NA	NA	NA
-ion	suffuse	v	suffusion	n	train	NA	NA	NA	NA
-ion	provide	v	provision	n	train	NA	NA	NA	NA
-ion	nominate	v	nomination	n	train	NA	NA	NA	NA
-ion	agglomerate	v	agglomeration	n	train	NA	NA	NA	NA
-ion	commit	v	commission	n	train	NA	NA	NA	NA
-ion	possess	v	possession	n	train	NA	NA	NA	NA
-ion	emancipate	v	emancipation	n	train	NA	NA	NA	NA
-ion	negate	v	negation	n	train	NA	NA	NA	NA
-ion	complicate	v	complication	n	train	NA	NA	NA	NA
-ion	dominate	v	domination	n	train	NA	NA	NA	NA
-ion	negotiate	v	negotiation	n	train	NA	NA	NA	NA
-ion	defoliate	v	defoliation	n	train	NA	NA	NA	NA
-ion	premeditate	v	premeditation	n	train	NA	NA	NA	NA
-ion	erupt	v	eruption	n	train	NA	NA	NA	NA
-ion	intimidate	v	intimidation	n	train	NA	NA	NA	NA
-ion	abdicate	v	abdication	n	train	NA	NA	NA	NA
-ion	inebriate	v	inebriation	n	train	NA	NA	NA	NA
-ion	recollect	v	recollection	n	train	NA	NA	NA	NA
-ion	hesitate	v	hesitation	n	train	NA	NA	NA	NA
-ion	intoxicate	v	intoxication	n	train	NA	NA	NA	NA
-ion	violate	v	violation	n	train	NA	NA	NA	NA
-ion	confess	v	confession	n	train	NA	NA	NA	NA
-ion	consummate	v	consummation	n	train	NA	NA	NA	NA
-ion	translate	v	translation	n	train	NA	NA	NA	NA
-ion	stimulate	v	stimulation	n	train	NA	NA	NA	NA
-ion	restrict	v	restriction	n	train	NA	NA	NA	NA
-ion	humiliate	v	humiliation	n	train	NA	NA	NA	NA
-ion	abrogate	v	abrogation	n	train	NA	NA	NA	NA
-ion	perpetuate	v	perpetuation	n	train	NA	NA	NA	NA
-ion	sublimate	v	sublimation	n	train	NA	NA	NA	NA
-ion	germinate	v	germination	n	train	NA	NA	NA	NA
-ion	arbitrate	v	arbitration	n	train	NA	NA	NA	NA
-ion	incarnate	v	incarnation	n	train	NA	NA	NA	NA
-ion	excrete	v	excretion	n	train	NA	NA	NA	NA
-ion	discuss	v	discussion	n	train	NA	NA	NA	NA
-ion	detect	v	detection	n	train	NA	NA	NA	NA
-ion	exhibit	v	exhibition	n	train	NA	NA	NA	NA
-ion	medicate	v	medication	n	train	NA	NA	NA	NA
-ion	abolish	v	abolition	n	train	NA	NA	NA	NA
-ion	retrogress	v	retrogression	n	train	NA	NA	NA	NA
-ion	deflate	v	deflation	n	train	NA	NA	NA	NA
-ion	obliterate	v	obliteration	n	train	NA	NA	NA	NA
-ion	instruct	v	instruction	n	train	NA	NA	NA	NA
-ion	invade	v	invasion	n	train	NA	NA	NA	NA
-ion	conflate	v	conflation	n	train	NA	NA	NA	NA
-ion	submit	v	submission	n	train	NA	NA	NA	NA
-ion	appropriate	v	appropriation	n	train	NA	NA	NA	NA
-ion	interrogate	v	interrogation	n	train	NA	NA	NA	NA
-ion	regress	v	regression	n	train	NA	NA	NA	NA
-ion	elaborate	v	elaboration	n	train	NA	NA	NA	NA
-ion	petrify	v	petrifaction	n	train	NA	NA	NA	NA
-ion	erode	v	erosion	n	train	NA	NA	NA	NA
-ion	intercept	v	interception	n	train	NA	NA	NA	NA
-ion	extrude	v	extrusion	n	train	NA	NA	NA	NA
-ion	conclude	v	conclusion	n	train	NA	NA	NA	NA
-ion	suspect	v	suspicion	n	train	NA	NA	NA	NA
-ion	misapprehend	v	misapprehension	n	train	NA	NA	NA	NA
-ion	radiate	v	radiation	n	train	NA	NA	NA	NA
-ion	conjoin	v	conjunction	n	train	NA	NA	NA	NA
-ion	supplicate	v	supplication	n	train	NA	NA	NA	NA
-ion	initiate	v	initiation	n	train	NA	NA	NA	NA
-ion	evict	v	eviction	n	train	NA	NA	NA	NA
-ion	rejuvenate	v	rejuvenation	n	train	NA	NA	NA	NA
-ion	personate	v	personation	n	train	NA	NA	NA	NA
-ion	presume	v	presumption	n	train	NA	NA	NA	NA
-ion	discriminate	v	discrimination	n	train	NA	NA	NA	NA
-ion	inject	v	injection	n	train	NA	NA	NA	NA
-ion	disperse	v	dispersion	n	train	NA	NA	NA	NA
-ion	isolate	v	isolation	n	train	NA	NA	NA	NA
-ion	interdict	v	interdiction	n	train	NA	NA	NA	NA
-ion	conciliate	v	conciliation	n	train	NA	NA	NA	NA
-ion	deteriorate	v	deterioration	n	train	NA	NA	NA	NA
-ion	recuperate	v	recuperation	n	train	NA	NA	NA	NA
-ion	deceive	v	deception	n	train	NA	NA	NA	NA
-ion	adhere	v	adhesion	n	train	NA	NA	NA	NA
-ion	refract	v	refraction	n	train	NA	NA	NA	NA
-ion	derogate	v	derogation	n	train	NA	NA	NA	NA
-ion	degenerate	v	degeneration	n	train	NA	NA	NA	NA
-ion	transubstantiate	v	transubstantiation	n	train	NA	NA	NA	NA
-ion	immerse	v	immersion	n	train	NA	NA	NA	NA
-ion	reverberate	v	reverberation	n	train	NA	NA	NA	NA
-ion	consolidate	v	consolidation	n	train	NA	NA	NA	NA
-ion	concede	v	concession	n	train	NA	NA	NA	NA
-ion	promulgate	v	promulgation	n	train	NA	NA	NA	NA
-ion	undulate	v	undulation	n	train	NA	NA	NA	NA
-ion	circumcise	v	circumcision	n	train	NA	NA	NA	NA
-ion	saturate	v	saturation	n	train	NA	NA	NA	NA
-ion	investigate	v	investigation	n	train	NA	NA	NA	NA
-ion	fabricate	v	fabrication	n	train	NA	NA	NA	NA
-ion	subjugate	v	subjugation	n	train	NA	NA	NA	NA
-ion	proliferate	v	proliferation	n	train	NA	NA	NA	NA
-ion	aggress	v	aggression	n	train	NA	NA	NA	NA
-ion	navigate	v	navigation	n	train	NA	NA	NA	NA
-ion	desert	v	desertion	n	train	NA	NA	NA	NA
-ion	cremate	v	cremation	n	train	NA	NA	NA	NA
-ion	intervene	v	intervention	n	train	NA	NA	NA	NA
-ion	inundate	v	inundation	n	train	NA	NA	NA	NA
-ion	reduplicate	v	reduplication	n	train	NA	NA	NA	NA
-ion	orate	v	oration	n	train	NA	NA	NA	NA
-ion	mistranslate	v	mistranslation	n	train	NA	NA	NA	NA
-ion	receive	v	reception	n	train	NA	NA	NA	NA
-ion	lacerate	v	laceration	n	train	NA	NA	NA	NA
-ion	supervise	v	supervision	n	train	NA	NA	NA	NA
-ion	sequestrate	v	sequestration	n	train	NA	NA	NA	NA
-ion	intend	v	intention	n	train	NA	NA	NA	NA
-ion	indicate	v	indication	n	train	NA	NA	NA	NA
-ion	exaggerate	v	exaggeration	n	train	NA	NA	NA	NA
-ion	narrate	v	narration	n	train	NA	NA	NA	NA
-ion	insulate	v	insulation	n	train	NA	NA	NA	NA
-ion	abduct	v	abduction	n	train	NA	NA	NA	NA
-ion	extirpate	v	extirpation	n	train	NA	NA	NA	NA
-ion	amputate	v	amputation	n	train	NA	NA	NA	NA
-ion	react	v	reaction	n	train	NA	NA	NA	NA
-ion	castrate	v	castration	n	train	NA	NA	NA	NA
-ion	estimate	v	estimation	n	train	NA	NA	NA	NA
-ion	tabulate	v	tabulation	n	train	NA	NA	NA	NA
-ion	obstruct	v	obstruction	n	train	NA	NA	NA	NA
-ion	tolerate	v	toleration	n	train	NA	NA	NA	NA
-ion	circumvent	v	circumvention	n	train	NA	NA	NA	NA
-ion	introvert	v	introversion	n	train	NA	NA	NA	NA
-ion	submerse	v	submersion	n	train	NA	NA	NA	NA
-ion	regulate	v	regulation	n	train	NA	NA	NA	NA
-ion	collaborate	v	collaboration	n	train	NA	NA	NA	NA
-ion	abort	v	abortion	n	train	NA	NA	NA	NA
-ion	transcribe	v	transcription	n	train	NA	NA	NA	NA
-ion	procreate	v	procreation	n	train	NA	NA	NA	NA
-ion	confederate	v	confederation	n	train	NA	NA	NA	NA
-ion	incise	v	incision	n	train	NA	NA	NA	NA
-ion	direct	v	direction	n	train	NA	NA	NA	NA
-ion	conceive	v	conception	n	train	NA	NA	NA	NA
-ion	donate	v	donation	n	train	NA	NA	NA	NA
-ion	precipitate	v	precipitation	n	train	NA	NA	NA	NA
-ion	construct	v	construction	n	train	NA	NA	NA	NA
-ion	delegate	v	delegation	n	train	NA	NA	NA	NA
-ion	compress	v	compression	n	train	NA	NA	NA	NA
-ion	graduate	v	graduation	n	train	NA	NA	NA	NA
-ion	crucify	v	crucifixion	n	train	NA	NA	NA	NA
-ion	convulse	v	convulsion	n	train	NA	NA	NA	NA
-ion	edit	v	edition	n	train	NA	NA	NA	NA
-ion	connect	v	connection	n	train	NA	NA	NA	NA
-ion	demolish	v	demolition	n	train	NA	NA	NA	NA
-ion	illuminate	v	illumination	n	train	NA	NA	NA	NA
-ion	hyphenate	v	hyphenation	n	train	NA	NA	NA	NA
-ion	renovate	v	renovation	n	train	NA	NA	NA	NA
-ion	annihilate	v	annihilation	n	train	NA	NA	NA	NA
-ion	macerate	v	maceration	n	train	NA	NA	NA	NA
-ion	automate	v	automation	n	train	NA	NA	NA	NA
-ion	anticipate	v	anticipation	n	train	NA	NA	NA	NA
-ion	contradict	v	contradiction	n	train	NA	NA	NA	NA
-ion	denominate	v	denomination	n	train	NA	NA	NA	NA
-ion	deliberate	v	deliberation	n	train	NA	NA	NA	NA
-ion	except	v	exception	n	train	NA	NA	NA	NA
-ion	modulate	v	modulation	n	train	NA	NA	NA	NA
-ion	cerebrate	v	cerebration	n	train	NA	NA	NA	NA
-ion	eliminate	v	elimination	n	train	NA	NA	NA	NA
-ion	remit	v	remission	n	train	NA	NA	NA	NA
-ion	subvert	v	subversion	n	train	NA	NA	NA	NA
-ion	adumbrate	v	adumbration	n	train	NA	NA	NA	NA
-ion	reproduce	v	reproduction	n	train	NA	NA	NA	NA
-ion	retract	v	retraction	n	train	NA	NA	NA	NA
-ion	commune	v	communion	n	train	NA	NA	NA	NA
-ion	misappropriate	v	misappropriation	n	train	NA	NA	NA	NA
-ion	activate	v	activation	n	train	NA	NA	NA	NA
-ion	exert	v	exertion	n	train	NA	NA	NA	NA
-ion	eject	v	ejection	n	train	NA	NA	NA	NA
-ion	decontaminate	v	decontamination	n	train	NA	NA	NA	NA
-ion	impress	v	impression	n	train	NA	NA	NA	NA
-ion	tense	v	tension	n	train	NA	NA	NA	NA
-ion	penetrate	v	penetration	n	train	NA	NA	NA	NA
-ion	escalate	v	escalation	n	train	NA	NA	NA	NA
-ion	desecrate	v	desecration	n	train	NA	NA	NA	NA
-ion	process	v	procession	n	train	NA	NA	NA	NA
-ion	permeate	v	permeation	n	train	NA	NA	NA	NA
-ion	imitate	v	imitation	n	train	NA	NA	NA	NA
-ion	prostitute	v	prostitution	n	train	NA	NA	NA	NA
-ion	emigrate	v	emigration	n	train	NA	NA	NA	NA
-ion	contract	v	contraction	n	train	NA	NA	NA	NA
-ion	extend	v	extension	n	train	NA	NA	NA	NA
-ion	metricate	v	metrication	n	train	NA	NA	NA	NA
-ion	revise	v	revision	n	train	NA	NA	NA	NA
-ion	infuse	v	infusion	n	train	NA	NA	NA	NA
-ion	demarcate	v	demarcation	n	train	NA	NA	NA	NA
-ion	consume	v	consumption	n	train	NA	NA	NA	NA
-ion	segregate	v	segregation	n	train	NA	NA	NA	NA
-ion	resurrect	v	resurrection	n	train	NA	NA	NA	NA
-ion	persecute	v	persecution	n	train	NA	NA	NA	NA
-ion	calculate	v	calculation	n	train	NA	NA	NA	NA
-ion	corrugate	v	corrugation	n	train	NA	NA	NA	NA
-ion	incinerate	v	incineration	n	train	NA	NA	NA	NA
-ion	reject	v	rejection	n	train	NA	NA	NA	NA
-ion	vindicate	v	vindication	n	train	NA	NA	NA	NA
-ion	mediate	v	mediation	n	train	NA	NA	NA	NA
-ion	abstract	v	abstraction	n	train	NA	NA	NA	NA
-ion	collate	v	collation	n	train	NA	NA	NA	NA
-ion	excoriate	v	excoriation	n	train	NA	NA	NA	NA
-ion	expostulate	v	expostulation	n	train	NA	NA	NA	NA
-ion	circumscribe	v	circumscription	n	train	NA	NA	NA	NA
-ion	consecrate	v	consecration	n	train	NA	NA	NA	NA
-ion	ulcerate	v	ulceration	n	train	NA	NA	NA	NA
-ion	permit	v	permission	n	train	NA	NA	NA	NA
-ion	coagulate	v	coagulation	n	train	NA	NA	NA	NA
-ion	reciprocate	v	reciprocation	n	train	NA	NA	NA	NA
-ion	suck	v	suction	n	train	NA	NA	NA	NA
-ion	abominate	v	abomination	n	train	NA	NA	NA	NA
-ion	propagate	v	propagation	n	train	NA	NA	NA	NA
-ion	lubricate	v	lubrication	n	train	NA	NA	NA	NA
-ion	contend	v	contention	n	train	NA	NA	NA	NA
-ion	capitulate	v	capitulation	n	train	NA	NA	NA	NA
-ion	effuse	v	effusion	n	train	NA	NA	NA	NA
-ion	mutate	v	mutation	n	train	NA	NA	NA	NA
-ion	speculate	v	speculation	n	train	NA	NA	NA	NA
-ion	scan	v	scansion	n	train	NA	NA	NA	NA
-ion	transit	v	transition	n	train	NA	NA	NA	NA
-ion	elide	v	elision	n	train	NA	NA	NA	NA
-ion	defecate	v	defecation	n	train	NA	NA	NA	NA
-ion	associate	v	association	n	train	NA	NA	NA	NA
-ion	procrastinate	v	procrastination	n	train	NA	NA	NA	NA
-ion	elucidate	v	elucidation	n	train	NA	NA	NA	NA
-ion	regenerate	v	regeneration	n	train	NA	NA	NA	NA
-ion	project	v	projection	n	train	NA	NA	NA	NA
-ion	stagnate	v	stagnation	n	train	NA	NA	NA	NA
-ion	extenuate	v	extenuation	n	train	NA	NA	NA	NA
-ion	manumit	v	manumission	n	train	NA	NA	NA	NA
-ion	carbonate	v	carbonation	n	train	NA	NA	NA	NA
-ion	enumerate	v	enumeration	n	train	NA	NA	NA	NA
-ion	prevaricate	v	prevarication	n	train	NA	NA	NA	NA
-ion	hallucinate	v	hallucination	n	train	NA	NA	NA	NA
-ion	attract	v	attraction	n	train	NA	NA	NA	NA
-ion	resume	v	resumption	n	train	NA	NA	NA	NA
-ion	intersect	v	intersection	n	train	NA	NA	NA	NA
-ion	accommodate	v	accommodation	n	train	NA	NA	NA	NA
-ion	invigilate	v	invigilation	n	train	NA	NA	NA	NA
-ion	exhaust	v	exhaustion	n	train	NA	NA	NA	NA
-ion	suspend	v	suspension	n	train	NA	NA	NA	NA
-ion	dissipate	v	dissipation	n	train	NA	NA	NA	NA
-ion	obfuscate	v	obfuscation	n	train	NA	NA	NA	NA
-ion	confuse	v	confusion	n	train	NA	NA	NA	NA
-ion	expedite	v	expedition	n	train	NA	NA	NA	NA
-ion	lactate	v	lactation	n	train	NA	NA	NA	NA
-ion	suggest	v	suggestion	n	train	NA	NA	NA	NA
-ion	punctuate	v	punctuation	n	train	NA	NA	NA	NA
-ion	ignite	v	ignition	n	train	NA	NA	NA	NA
-ion	participate	v	participation	n	train	NA	NA	NA	NA
-ion	interrelate	v	interrelation	n	train	NA	NA	NA	NA
-ion	pervert	v	perversion	n	train	NA	NA	NA	NA
-ion	persuade	v	persuasion	n	train	NA	NA	NA	NA
-ion	impel	v	impulsion	n	train	NA	NA	NA	NA
-ion	comprehend	v	comprehension	n	train	NA	NA	NA	NA
-ion	vibrate	v	vibration	n	train	NA	NA	NA	NA
-ion	contravene	v	contravention	n	train	NA	NA	NA	NA
-ion	convict	v	conviction	n	train	NA	NA	NA	NA
-ion	instigate	v	instigation	n	train	NA	NA	NA	NA
-ion	emit	v	emission	n	train	NA	NA	NA	NA
-ion	profess	v	profession	n	train	NA	NA	NA	NA
-ion	suppurate	v	suppuration	n	train	NA	NA	NA	NA
-ion	distort	v	distortion	n	train	NA	NA	NA	NA
-ion	assume	v	assumption	n	train	NA	NA	NA	NA
-ion	substitute	v	substitution	n	train	NA	NA	NA	NA
-ion	sophisticate	v	sophistication	n	train	NA	NA	NA	NA
-ion	pretend	v	pretension	n	train	NA	NA	NA	NA
-ion	distend	v	distension	n	train	NA	NA	NA	NA
-ion	propel	v	propulsion	n	train	NA	NA	NA	NA
-ion	diffract	v	diffraction	n	train	NA	NA	NA	NA
-ion	repatriate	v	repatriation	n	train	NA	NA	NA	NA
-ion	cohere	v	cohesion	n	train	NA	NA	NA	NA
-ion	opine	v	opinion	n	train	NA	NA	NA	NA
-ion	deviate	v	deviation	n	train	NA	NA	NA	NA
-ion	dehydrate	v	dehydration	n	train	NA	NA	NA	NA
-ion	menstruate	v	menstruation	n	train	NA	NA	NA	NA
-ion	congratulate	v	congratulation	n	train	NA	NA	NA	NA
-ion	obsess	v	obsession	n	train	NA	NA	NA	NA
-ion	collocate	v	collocation	n	train	NA	NA	NA	NA
-ion	formulate	v	formulation	n	train	NA	NA	NA	NA
-ion	congregate	v	congregation	n	train	NA	NA	NA	NA
-ion	televise	v	television	n	train	NA	NA	NA	NA
-ion	implode	v	implosion	n	train	NA	NA	NA	NA
-ion	facilitate	v	facilitation	n	train	NA	NA	NA	NA
-ion	refrigerate	v	refrigeration	n	train	NA	NA	NA	NA
-ion	prostrate	v	prostration	n	train	NA	NA	NA	NA
-ion	collect	v	collection	n	train	NA	NA	NA	NA
-ion	explode	v	explosion	n	train	NA	NA	NA	NA
-ion	incorporate	v	incorporation	n	train	NA	NA	NA	NA
-ion	bifurcate	v	bifurcation	n	train	NA	NA	NA	NA
-ion	oscillate	v	oscillation	n	train	NA	NA	NA	NA
-ion	quest	v	question	n	train	NA	NA	NA	NA
-ion	interrupt	v	interruption	n	train	NA	NA	NA	NA
-ion	emaciate	v	emaciation	n	train	NA	NA	NA	NA
-ion	transact	v	transaction	n	train	NA	NA	NA	NA
-ion	designate	v	designation	n	train	NA	NA	NA	NA
-ion	relocate	v	relocation	n	train	NA	NA	NA	NA
-ion	copulate	v	copulation	n	train	NA	NA	NA	NA
-ion	intercommunicate	v	intercommunication	n	train	NA	NA	NA	NA
-ion	scintillate	v	scintillation	n	train	NA	NA	NA	NA
-ion	prefabricate	v	prefabrication	n	train	NA	NA	NA	NA
-ion	promote	v	promotion	n	train	NA	NA	NA	NA
-ion	invent	v	invention	n	train	NA	NA	NA	NA
-ion	matriculate	v	matriculation	n	train	NA	NA	NA	NA
-ion	insert	v	insertion	n	train	NA	NA	NA	NA
-ion	contaminate	v	contamination	n	train	NA	NA	NA	NA
-ion	reflect	v	reflection	n	train	NA	NA	NA	NA
-ion	correlate	v	correlation	n	train	NA	NA	NA	NA
-ion	redeem	v	redemption	n	train	NA	NA	NA	NA
-ion	impersonate	v	impersonation	n	train	NA	NA	NA	NA
-ion	dilute	v	dilution	n	train	NA	NA	NA	NA
-ion	affect	v	affection	n	train	NA	NA	NA	NA
-ion	equate	v	equation	n	train	NA	NA	NA	NA
-ion	execrate	v	execration	n	train	NA	NA	NA	NA
-ion	reduce	v	reduction	n	train	NA	NA	NA	NA
-ion	concoct	v	concoction	n	train	NA	NA	NA	NA
-ion	expiate	v	expiation	n	train	NA	NA	NA	NA
-ion	meditate	v	meditation	n	train	NA	NA	NA	NA
-ion	perforate	v	perforation	n	train	NA	NA	NA	NA
-ion	adopt	v	adoption	n	train	NA	NA	NA	NA
-ion	emasculate	v	emasculation	n	train	NA	NA	NA	NA
-ion	frustrate	v	frustration	n	train	NA	NA	NA	NA
-ion	afflict	v	affliction	n	train	NA	NA	NA	NA
-ion	cultivate	v	cultivation	n	train	NA	NA	NA	NA
-ion	compel	v	compulsion	n	train	NA	NA	NA	NA
-ion	admonish	v	admonition	n	train	NA	NA	NA	NA
-ion	fuse	v	fusion	n	train	NA	NA	NA	NA
-ion	deject	v	dejection	n	train	NA	NA	NA	NA
-ion	abbreviate	v	abbreviation	n	train	NA	NA	NA	NA
-ion	sedate	v	sedation	n	train	NA	NA	NA	NA
-ion	manipulate	v	manipulation	n	train	NA	NA	NA	NA
-ion	emote	v	emotion	n	train	NA	NA	NA	NA
-ion	annotate	v	annotation	n	train	NA	NA	NA	NA
-ion	inculcate	v	inculcation	n	train	NA	NA	NA	NA
-ion	contort	v	contortion	n	train	NA	NA	NA	NA
-ion	intuit	v	intuition	n	train	NA	NA	NA	NA
-ion	expropriate	v	expropriation	n	train	NA	NA	NA	NA
-ion	relate	v	relation	n	train	NA	NA	NA	NA
-ion	transfuse	v	transfusion	n	train	NA	NA	NA	NA
-ion	describe	v	description	n	train	NA	NA	NA	NA
-ion	salivate	v	salivation	n	train	NA	NA	NA	NA
-ion	confiscate	v	confiscation	n	train	NA	NA	NA	NA
-ion	articulate	v	articulation	n	train	NA	NA	NA	NA
-ion	urinate	v	urination	n	train	NA	NA	NA	NA
-ion	ingest	v	ingestion	n	train	NA	NA	NA	NA
-ion	circulate	v	circulation	n	train	NA	NA	NA	NA
-ion	predict	v	prediction	n	train	NA	NA	NA	NA
-ion	decompress	v	decompression	n	train	NA	NA	NA	NA
-ion	federate	v	federation	n	train	NA	NA	NA	NA
-ion	substantiate	v	substantiation	n	train	NA	NA	NA	NA
-ion	admit	v	admission	n	train	NA	NA	NA	NA
-ion	exacerbate	v	exacerbation	n	train	NA	NA	NA	NA
-ion	subtract	v	subtraction	n	train	NA	NA	NA	NA
-ion	recede	v	recession	n	train	NA	NA	NA	NA
-ion	pupate	v	pupation	n	train	NA	NA	NA	NA
-ion	separate	v	separation	n	train	NA	NA	NA	NA
-ion	educate	v	education	n	train	NA	NA	NA	NA
-ion	dissect	v	dissection	n	train	NA	NA	NA	NA
-ion	dedicate	v	dedication	n	train	NA	NA	NA	NA
-ion	ejaculate	v	ejaculation	n	train	NA	NA	NA	NA
-ion	omit	v	omission	n	train	NA	NA	NA	NA
-ion	attend	v	attention	n	train	NA	NA	NA	NA
-ion	combust	v	combustion	n	train	NA	NA	NA	NA
-ion	venerate	v	veneration	n	train	NA	NA	NA	NA
-ion	authenticate	v	authentication	n	train	NA	NA	NA	NA
-ion	extricate	v	extrication	n	train	NA	NA	NA	NA
-ion	incur	v	incursion	n	train	NA	NA	NA	NA
-ion	conduct	v	conduction	n	train	NA	NA	NA	NA
-ion	posit	v	position	n	train	NA	NA	NA	NA
-ion	destroy	v	destruction	n	train	NA	NA	NA	NA
-ion	fruit	v	fruition	n	train	NA	NA	NA	NA
-ion	calibrate	v	calibration	n	train	NA	NA	NA	NA
-ion	depict	v	depiction	n	train	NA	NA	NA	NA
-ion	ruminate	v	rumination	n	train	NA	NA	NA	NA
-ion	perpetrate	v	perpetration	n	train	NA	NA	NA	NA
-ion	fluctuate	v	fluctuation	n	train	NA	NA	NA	NA
-ion	concatenate	v	concatenation	n	train	NA	NA	NA	NA
-ion	dissimulate	v	dissimulation	n	train	NA	NA	NA	NA
-ion	remunerate	v	remuneration	n	train	NA	NA	NA	NA
-ion	evaporate	v	evaporation	n	train	NA	NA	NA	NA
-ion	eradicate	v	eradication	n	train	NA	NA	NA	NA
-ion	attenuate	v	attenuation	n	train	NA	NA	NA	NA
-ion	intrude	v	intrusion	n	train	NA	NA	NA	NA
-ion	pollinate	v	pollination	n	train	NA	NA	NA	NA
-ion	accord	v	accordion	n	train	NA	NA	NA	NA
-ion	conjugate	v	conjugation	n	train	NA	NA	NA	NA
-ion	hibernate	v	hibernation	n	train	NA	NA	NA	NA
-ion	inflate	v	inflation	n	train	NA	NA	NA	NA
-ion	equivocate	v	equivocation	n	train	NA	NA	NA	NA
-ion	excise	v	excision	n	train	NA	NA	NA	NA
-ion	concrete	v	concretion	n	train	NA	NA	NA	NA
-ion	excavate	v	excavation	n	train	NA	NA	NA	NA
-ion	fumigate	v	fumigation	n	train	NA	NA	NA	NA
-ion	distribute	v	distribution	n	train	NA	NA	NA	NA
-ion	animate	v	animation	n	train	NA	NA	NA	NA
-ion	relegate	v	relegation	n	train	NA	NA	NA	NA
-ion	pulsate	v	pulsation	n	train	NA	NA	NA	NA
-ion	retaliate	v	retaliation	n	train	NA	NA	NA	NA
-ion	fluoridate	v	fluoridation	n	train	NA	NA	NA	NA
-ion	corrupt	v	corruption	n	train	NA	NA	NA	NA
-ion	perceive	v	perception	n	train	NA	NA	NA	NA
-ion	incriminate	v	incrimination	n	train	NA	NA	NA	NA
-ion	dissuade	v	dissuasion	n	train	NA	NA	NA	NA
-ion	assassinate	v	assassination	n	train	NA	NA	NA	NA
-ion	motivate	v	motivation	n	train	NA	NA	NA	NA
-ion	concentrate	v	concentration	n	train	NA	NA	NA	NA
-ion	infect	v	infection	n	train	NA	NA	NA	NA
-ion	validate	v	validation	n	train	NA	NA	NA	NA
-ion	striate	v	striation	n	train	NA	NA	NA	NA
-ion	produce	v	production	n	train	NA	NA	NA	NA
-ion	constipate	v	constipation	n	train	NA	NA	NA	NA
-ion	illustrate	v	illustration	n	train	NA	NA	NA	NA
-ion	vacillate	v	vacillation	n	train	NA	NA	NA	NA
-ion	syncopate	v	syncopation	n	train	NA	NA	NA	NA
-ion	collude	v	collusion	n	train	NA	NA	NA	NA
-ion	palliate	v	palliation	n	train	NA	NA	NA	NA
-ion	celebrate	v	celebration	n	train	NA	NA	NA	NA
-ion	titillate	v	titillation	n	train	NA	NA	NA	NA
-ion	numerate	v	numeration	n	train	NA	NA	NA	NA
-ion	seclude	v	seclusion	n	train	NA	NA	NA	NA
-ion	ascend	v	ascension	n	train	NA	NA	NA	NA
-ion	vivisect	v	vivisection	n	train	NA	NA	NA	NA
-ion	ameliorate	v	amelioration	n	train	NA	NA	NA	NA
-ion	expel	v	expulsion	n	train	NA	NA	NA	NA
-ion	transmit	v	transmission	n	train	NA	NA	NA	NA
-ion	prescribe	v	prescription	n	train	NA	NA	NA	NA
-ion	inspect	v	inspection	n	train	NA	NA	NA	NA
-ion	miscalculate	v	miscalculation	n	train	NA	NA	NA	NA
-ion	corrode	v	corrosion	n	train	NA	NA	NA	NA
-ion	correct	v	correction	n	train	NA	NA	NA	NA
-ion	reprobate	v	reprobation	n	train	NA	NA	NA	NA
-ion	rebel	v	rebellion	n	train	NA	NA	NA	NA
-ion	repulse	v	repulsion	n	train	NA	NA	NA	NA
-ion	adjudicate	v	adjudication	n	train	NA	NA	NA	NA
-ion	reconstruct	v	reconstruction	n	train	NA	NA	NA	NA
-ion	affiliate	v	affiliation	n	train	NA	NA	NA	NA
-ion	deprecate	v	deprecation	n	train	NA	NA	NA	NA
-ion	extradite	v	extradition	n	train	NA	NA	NA	NA
-ion	depress	v	depression	n	train	NA	NA	NA	NA
-ion	express	v	expression	n	train	NA	NA	NA	NA
-ion	accelerate	v	acceleration	n	train	NA	NA	NA	NA
-ion	migrate	v	migration	n	train	NA	NA	NA	NA
-ion	incubate	v	incubation	n	train	NA	NA	NA	NA
-ion	communicate	v	communication	n	train	NA	NA	NA	NA
-ion	terminate	v	termination	n	train	NA	NA	NA	NA
-ion	dislocate	v	dislocation	n	train	NA	NA	NA	NA
-ion	propitiate	v	propitiation	n	train	NA	NA	NA	NA
-ion	interpellate	v	interpellation	n	train	NA	NA	NA	NA
-ion	depreciate	v	depreciation	n	train	NA	NA	NA	NA
-ion	concuss	v	concussion	n	train	NA	NA	NA	NA
-ion	percolate	v	percolation	n	train	NA	NA	NA	NA
-ion	asphyxiate	v	asphyxiation	n	train	NA	NA	NA	NA
-ion	incarcerate	v	incarceration	n	train	NA	NA	NA	NA
-ion	invert	v	inversion	n	train	NA	NA	NA	NA
-ion	demonstrate	v	demonstration	n	train	NA	NA	NA	NA
-ion	perfect	v	perfection	n	train	NA	NA	NA	NA
-ion	distract	v	distraction	n	train	NA	NA	NA	NA
-ion	evaluate	v	evaluation	n	train	NA	NA	NA	NA
-ion	irritate	v	irritation	n	train	NA	NA	NA	NA
-ion	succeed	v	succession	n	train	NA	NA	NA	NA
-ion	counteract	v	counteraction	n	train	NA	NA	NA	NA
-ion	disconnect	v	disconnection	n	train	NA	NA	NA	NA
